layer,attn_logit,mlp_logit,dominant
0,0.28160279989242554,1.2241930961608887,MLP
1,0.7743496894836426,0.09005793929100037,ATTN
2,0.5663019418716431,0.1380065381526947,ATTN
3,0.26013457775115967,0.1957148015499115,ATTN
4,0.3872200846672058,-0.24752753973007202,ATTN
5,0.8743720054626465,-0.3112679123878479,ATTN
6,0.26630768179893494,0.43426042795181274,MLP
7,-0.4577403664588928,0.27802950143814087,ATTN
8,0.05853947252035141,1.0191998481750488,MLP
9,-0.27716171741485596,-0.28249669075012207,MLP
10,-0.17757490277290344,-0.08676505088806152,ATTN
11,1.187265157699585,-2.934734344482422,MLP
12,0.26604732871055603,-0.5613705515861511,MLP
13,1.1546125411987305,1.0830965042114258,ATTN
14,1.3873636722564697,-3.0538082122802734,MLP
15,1.2512809038162231,-0.8586318492889404,ATTN
16,2.206159830093384,-0.08575570583343506,ATTN
17,0.13867393136024475,0.4980587363243103,MLP
18,2.675166130065918,-0.6566262245178223,ATTN
19,2.3253726959228516,1.493161678314209,ATTN
20,2.1499171257019043,0.5092225074768066,ATTN
21,4.058541297912598,-2.1501195430755615,ATTN
22,4.334155559539795,1.33548903465271,ATTN
23,9.355525970458984,0.4958570897579193,ATTN
24,2.285897731781006,3.587881326675415,MLP
25,1.3076249361038208,3.0145692825317383,MLP
26,5.252223491668701,6.315141677856445,MLP
27,2.7622556686401367,8.009404182434082,MLP
28,3.826788902282715,7.142446517944336,MLP
29,1.4849846363067627,3.591728448867798,MLP
30,2.6550979614257812,5.786474704742432,MLP
31,1.944641351699829,8.311386108398438,MLP
32,10.682881355285645,5.784048557281494,ATTN
33,2.523085355758667,15.101497650146484,MLP
34,4.660033226013184,5.544357776641846,MLP
35,2.2730658054351807,5.309915065765381,MLP
