layer,top_prediction,target_rank,target_prob
0, the,2265,4.968820940121077e-05
1, the,3435,4.766226629726589e-05
2, example,3074,5.862811303813942e-05
3, example,2972,6.025939364917576e-05
4, example,2940,6.126290099928156e-05
5, sale,2258,7.521815859945491e-05
6, example,1433,0.0001159586536232382
7, example,2071,8.470653119729832e-05
8, example,1550,9.964195487555116e-05
9, example,3126,4.428153988556005e-05
10, symbol,4166,3.179003397235647e-05
11, symbol,9349,1.0355739505030215e-05
12, symbol,11456,6.954287528060377e-06
13, acronym,7848,9.07625781110255e-06
14, acronym,11923,3.503145080685499e-06
15, acronym,11247,3.1355668852484087e-06
16, acronym,7373,6.938387741683982e-06
17, acronym,7258,3.05947833112441e-06
18, acronym,5023,5.859901193616679e-06
19, acronym,2820,7.915715286799241e-06
20, acronym,1884,8.78688024386065e-06
21, acronym,1480,1.286754741158802e-05
22, acronym,673,2.53711077675689e-05
23, acronym,180,0.00021326914429664612
24, W,113,0.0004282822192180902
25, W,81,0.0007603002595715225
26, W,66,0.00046059407759457827
27, W,31,0.002407415769994259
28, W,22,0.004490620456635952
29, Women,23,0.005994834005832672
30, Women,15,0.008213218301534653
31, Women,15,0.011998683214187622
32, Women,13,0.013910203240811825
33, Women,8,0.021704023703932762
34, Women,7,0.025165444239974022
35, Women,6,0.030259937047958374
